Year,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1771,17.069000000000003,3.007,Cracow,Poland,50.63N,19.01E
1771,17.532,1.658,Cracow,Poland,50.63N,19.01E
1771,16.529999999999998,2.487,Cracow,Poland,50.63N,19.01E
1771,13.78,1.878,Cracow,Poland,50.63N,19.01E
1771,8.484,1.826,Cracow,Poland,50.63N,19.01E
1771,-0.0379999999999998,4.837,Cracow,Poland,50.63N,19.01E
1771,-0.79,4.016,Cracow,Poland,50.63N,19.01E
1772,-2.568,8.402999999999999,Cracow,Poland,50.63N,19.01E
1772,-1.445,10.263,Cracow,Poland,50.63N,19.01E
1772,2.112,4.704,Cracow,Poland,50.63N,19.01E
1772,7.532,4.7330000000000005,Cracow,Poland,50.63N,19.01E
1772,10.976,1.739,Cracow,Poland,50.63N,19.01E
1772,17.46,4.933,Cracow,Poland,50.63N,19.01E
1772,18.756,3.232,Cracow,Poland,50.63N,19.01E
1772,17.930999999999994,4.744,Cracow,Poland,50.63N,19.01E
1772,14.502,3.39,Cracow,Poland,50.63N,19.01E
1772,9.388,2.633,Cracow,Poland,50.63N,19.01E
1772,5.807,5.79,Cracow,Poland,50.63N,19.01E
1772,0.278,3.608,Cracow,Poland,50.63N,19.01E
1773,-2.515,2.769,Cracow,Poland,50.63N,19.01E
1773,-2.803,3.279,Cracow,Poland,50.63N,19.01E
1773,1.384,2.228,Cracow,Poland,50.63N,19.01E
1773,8.475,3.552,Cracow,Poland,50.63N,19.01E
1773,15.82,3.786,Cracow,Poland,50.63N,19.01E
1773,16.261,1.601,Cracow,Poland,50.63N,19.01E
1773,18.039,2.351,Cracow,Poland,50.63N,19.01E
1773,17.692999999999994,2.167,Cracow,Poland,50.63N,19.01E
1773,14.944,2.276,Cracow,Poland,50.63N,19.01E
1773,9.799,2.423,Cracow,Poland,50.63N,19.01E
1773,2.745,6.999,Cracow,Poland,50.63N,19.01E
1773,1.4920000000000002,5.979,Cracow,Poland,50.63N,19.01E
1774,-4.815,8.667,Cracow,Poland,50.63N,19.01E
1774,-0.943,7.745,Cracow,Poland,50.63N,19.01E
1774,3.4930000000000003,3.045,Cracow,Poland,50.63N,19.01E
1774,10.178,5.772,Cracow,Poland,50.63N,19.01E
1774,14.939,2.247,Cracow,Poland,50.63N,19.01E
1774,18.591,7.232,Cracow,Poland,50.63N,19.01E
1774,19.141,7.487999999999999,Cracow,Poland,50.63N,19.01E
1774,18.037,3.036,Cracow,Poland,50.63N,19.01E
1774,12.841,3.284,Cracow,Poland,50.63N,19.01E
1774,7.895,4.901,Cracow,Poland,50.63N,19.01E
1774,-2.499,6.814,Cracow,Poland,50.63N,19.01E
1774,-3.491,5.999,Cracow,Poland,50.63N,19.01E
1775,-3.45,5.132999999999999,Cracow,Poland,50.63N,19.01E
1775,1.4680000000000002,5.271,Cracow,Poland,50.63N,19.01E
1775,4.348,2.47,Cracow,Poland,50.63N,19.01E
1775,6.292000000000002,1.346,Cracow,Poland,50.63N,19.01E
1775,12.255,3.876,Cracow,Poland,50.63N,19.01E
1775,18.911,5.252999999999999,Cracow,Poland,50.63N,19.01E
1775,19.598,1.737,Cracow,Poland,50.63N,19.01E
1775,20.391,1.4240000000000002,Cracow,Poland,50.63N,19.01E
1775,15.909,3.519,Cracow,Poland,50.63N,19.01E
1775,9.938,2.893,Cracow,Poland,50.63N,19.01E
1775,3.056,6.886,Cracow,Poland,50.63N,19.01E
1775,-1.217,1.96,Cracow,Poland,50.63N,19.01E
1776,-9.668,5.952999999999999,Cracow,Poland,50.63N,19.01E
1776,0.6800000000000002,3.7,Cracow,Poland,50.63N,19.01E
1776,3.285,3.373,Cracow,Poland,50.63N,19.01E
1776,7.102,1.358,Cracow,Poland,50.63N,19.01E
1776,11.568,3.724,Cracow,Poland,50.63N,19.01E
1776,17.34,3.6,Cracow,Poland,50.63N,19.01E
1776,19.041,3.0460000000000003,Cracow,Poland,50.63N,19.01E
1776,18.325,4.683,Cracow,Poland,50.63N,19.01E
1776,13.338,3.307,Cracow,Poland,50.63N,19.01E
1776,7.021999999999999,3.539,Cracow,Poland,50.63N,19.01E
1776,2.2750000000000004,6.496,Cracow,Poland,50.63N,19.01E
1776,-1.991,3.695,Cracow,Poland,50.63N,19.01E
1777,-4.175,4.276,Cracow,Poland,50.63N,19.01E
1777,-3.075,3.941,Cracow,Poland,50.63N,19.01E
1777,2.214,2.024,Cracow,Poland,50.63N,19.01E
1777,5.468999999999999,1.778,Cracow,Poland,50.63N,19.01E
1777,14.037,3.738,Cracow,Poland,50.63N,19.01E
1777,16.427,2.9160000000000004,Cracow,Poland,50.63N,19.01E
1777,17.073,1.779,Cracow,Poland,50.63N,19.01E
1777,17.767,1.754,Cracow,Poland,50.63N,19.01E
1777,12.255999999999998,5.032,Cracow,Poland,50.63N,19.01E
1777,7.297999999999999,5.715,Cracow,Poland,50.63N,19.01E
1777,4.247,2.1790000000000003,Cracow,Poland,50.63N,19.01E
1777,-1.27,2.2840000000000003,Cracow,Poland,50.63N,19.01E
1778,-2.416,3.411,Cracow,Poland,50.63N,19.01E
1778,-2.798,3.559,Cracow,Poland,50.63N,19.01E
1778,2.853,4.446000000000001,Cracow,Poland,50.63N,19.01E
1778,10.505999999999998,1.528,Cracow,Poland,50.63N,19.01E
1778,14.486,3.1660000000000004,Cracow,Poland,50.63N,19.01E
1778,16.637999999999998,6.261,Cracow,Poland,50.63N,19.01E
1778,20.397,1.475,Cracow,Poland,50.63N,19.01E
1778,18.469,3.545,Cracow,Poland,50.63N,19.01E
1778,12.568,1.455,Cracow,Poland,50.63N,19.01E
1778,6.502999999999999,7.148,Cracow,Poland,50.63N,19.01E
1778,3.698,4.954,Cracow,Poland,50.63N,19.01E
1778,2.484,3.349,Cracow,Poland,50.63N,19.01E
1779,-5.25,4.0280000000000005,Cracow,Poland,50.63N,19.01E
1779,2.031,9.012,Cracow,Poland,50.63N,19.01E
1779,4.538,4.17,Cracow,Poland,50.63N,19.01E
1779,10.435,3.984,Cracow,Poland,50.63N,19.01E
1779,15.418,1.944,Cracow,Poland,50.63N,19.01E
1779,15.574000000000002,4.171,Cracow,Poland,50.63N,19.01E
1779,17.270999999999994,2.849,Cracow,Poland,50.63N,19.01E
1779,18.471,3.883,Cracow,Poland,50.63N,19.01E
1779,14.803,2.823,Cracow,Poland,50.63N,19.01E
1779,9.649,3.848,Cracow,Poland,50.63N,19.01E
1779,4.206,2.466,Cracow,Poland,50.63N,19.01E
1779,1.713,10.075,Cracow,Poland,50.63N,19.01E
1780,-5.38,6.314,Cracow,Poland,50.63N,19.01E
1780,-4.455,3.947,Cracow,Poland,50.63N,19.01E
1780,5.245,1.76,Cracow,Poland,50.63N,19.01E
1780,6.836,3.029,Cracow,Poland,50.63N,19.01E
1780,13.792000000000002,3.14,Cracow,Poland,50.63N,19.01E
1780,16.086,5.948,Cracow,Poland,50.63N,19.01E
1780,18.164,2.556,Cracow,Poland,50.63N,19.01E
1780,17.453999999999994,5.154,Cracow,Poland,50.63N,19.01E
1780,12.448,4.507,Cracow,Poland,50.63N,19.01E
1780,9.489,2.386,Cracow,Poland,50.63N,19.01E
1780,3.235,3.07,Cracow,Poland,50.63N,19.01E
1780,-3.599,2.623,Cracow,Poland,50.63N,19.01E
1781,-4.124,8.391,Cracow,Poland,50.63N,19.01E
1781,-1.615,12.273,Cracow,Poland,50.63N,19.01E
1781,2.8560000000000003,1.649,Cracow,Poland,50.63N,19.01E
1781,9.224,3.045,Cracow,Poland,50.63N,19.01E
1781,13.859000000000002,3.372,Cracow,Poland,50.63N,19.01E
1781,18.57,1.704,Cracow,Poland,50.63N,19.01E
